Gene,F_P60_LPS 1,F_P60_LPS 2,F_P60_LPS 4,F_P60_LPS 5,F_P60_LPS 6,F_P60_Sal 1,F_P60_Sal 2,F_P60_Sal 3,F_P60_Sal 4,F_P60_Sal 5,F_P60_Sal 7,F_P60_LPS 3,F_P60_Sal 6
Olfr311,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr315,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr373,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1364,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1361,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1360,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr777,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr775,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr771,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr800,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr786,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr810,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr788,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr811,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr806,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr803,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr805,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr798,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr869,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr866,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr868,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr872,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr873,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr862,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr836,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr837,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr830,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr843,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1012,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1014,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1006,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1015,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1009,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1002,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1457,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr459,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1043,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1033,4,0,0,0,4,3,2,9,2,3,5,3,6
Olfr1032,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1020,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1046,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1026,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1018,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1023,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1030,0,0,0,0,1,0,0,0,0,0,0,0,0
Olfr1022,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1085,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1101,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1086,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1111,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1100,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr703,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr702,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr695,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr697,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr700,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr710,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr698,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr716,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr828,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr270,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr984,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr972,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr970,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr968,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr229,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr971,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr986,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr305,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr307,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr297,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr303,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr292,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr308,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr360,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr357,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr356,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr355,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr350,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr344,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1501,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1504,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1489,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1487,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1141,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1151,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1138,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1153,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1164,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1140,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1155,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1163,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1158,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr152,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1154,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1160,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1166,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr418-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr435,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr237-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr441,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr444,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1131,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1136,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1135,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1112,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr365,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr733,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr734,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr732,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr736,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr740,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr739,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr815,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr822,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr816,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr823,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr824,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr820,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr826,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr825,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1428,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1427,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1423,0,0,0,0,0,0,0,0,0,0,1,0,0
Olfr1424,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1441,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1440,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1433,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr235,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1436,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr262,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1459,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1472,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1467,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1454,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1462,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1466,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1469,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1477,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1442,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1443,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1445,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1453,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1448,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1444,0,0,0,0,0,1,0,0,0,0,0,0,0
Olfr1447,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1446,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1451,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr401,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr410,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr402,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr411,0,0,1,0,0,0,0,0,0,0,0,0,0
Olfr398,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1342,0,0,1,1,0,0,0,2,0,0,2,0,0
Olfr248,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr419,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr432,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr433,0,0,1,0,0,0,0,0,0,0,0,0,0
Olfr430,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr421,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr424,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr429,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr513,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr512,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr516,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr514,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr611,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr781,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr784,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1095,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr599,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr488,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr482,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr478,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr483,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr491,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr494,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr497,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr502,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1497,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1316,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr507,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1362,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr957,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr935,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr661,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr875,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr689,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr648,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1106,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1195,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr556,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr551,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr608,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr583,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr678,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr214,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr672,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr414,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1013,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1406,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1408,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1109,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1104,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1099,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1110,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr259,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1176,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1189,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr508,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr472,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr473,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr821,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr818,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1208,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr196,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr715,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr922,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr921,3,0,0,0,0,0,0,0,0,0,0,0,0
Olfr916,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr915,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr914,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr920,0,5,0,0,5,3,0,1,1,0,0,0,0
Olfr1245,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1230,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1238,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1248,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1246,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1271,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1263,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr812,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1499,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1502,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr878,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr904,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr902,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr906,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr905,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr907,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1240,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1426,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr912,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr910,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr620,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr651,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr665,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr926,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr923,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1156,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1218,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr466,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr655,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr629,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr640,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1184,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr273,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr969,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr983,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr975,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1132,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1126,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1130,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr272,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr545,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr617,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1097,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1107,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1098,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1087,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1090,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1161,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1157,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr295,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1339,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1341,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr982,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr985,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr275,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr371,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr161,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr763,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr770,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr768,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr992,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1008,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr894,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr898,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr908,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr911-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr900,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr895,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1395,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr330,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1404,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr874,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr876,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1299,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1294,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1298,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1301,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1297,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1302,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1225,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1223,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1216,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1201,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1205,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1214,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1213,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1219,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1220,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1217,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1221,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr871,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr870,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr851,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr853,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1282,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1280,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1378,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1377,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr211,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1348,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1336,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1346,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1179,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1180,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1188,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr267,0,0,0,0,0,1,0,0,0,0,0,0,0
Olfr476,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr481,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr477,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr799,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr808,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr807,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr791,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr796,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr802,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr790,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr167,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1417,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr346,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr354,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr352,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr353,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr351,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr347,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr348,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr345,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr338,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr342,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr339,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr341,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr340,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr522,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr531,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr535,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr525,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr170,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr171,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr631,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr539,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr541,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1250,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1247,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1226,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1242,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1243,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1239,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1228,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1233,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1234,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1262,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1273-ps,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1255,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1258,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1272,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1260,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1257,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1256,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1270,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr457,0,0,0,0,0,2,0,2,0,0,0,0,0
Olfr447,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1496,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1494,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr206,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr204,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr176,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr201,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr202,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr177,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr178,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr195,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr181,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr173,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr172,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr175-ps1,0,0,0,0,0,0,0,0,0,2,0,0,0
Olfr399,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr395,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr392,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr394,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr393,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr389,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1052,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1044,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1047,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1038-ps,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1048,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1019,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1049,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1045,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1056,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1054,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1055,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr381,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr385,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr378,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr380,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr532,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1124,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1120,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1134,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1122,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr705,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr714,0,0,0,0,0,0,0,0,0,0,0,0,0
Olfr713,0,0,0,0,0,0,0,0,0,0,0,0,0
